job_title,experience_years,education_level,skills_count,industry,company_size,location,remote_work,certifications,salary
AI Engineer,18,Diploma,11,Manufacturing,Large,Netherlands,Yes,2,192679
Cloud Engineer,16,Diploma,7,Retail,Medium,Germany,Hybrid,5,166998
Cloud Engineer,1,High School,13,Healthcare,Large,Singapore,Yes,4,121675
Business Analyst,20,Master,9,Retail,Large,USA,No,2,199195
Machine Learning Engineer,4,Diploma,7,Government,Startup,Singapore,Hybrid,5,114922
Data Scientist,9,Master,13,Finance,Small,USA,Yes,3,179875
Business Analyst,13,High School,13,Media,Small,Canada,Hybrid,5,127758
Frontend Developer,19,Master,9,Education,Large,Australia,Hybrid,0,152202
DevOps Engineer,0,Bachelor,16,Government,Small,Singapore,No,4,109060
Cloud Engineer,0,PhD,14,Retail,Small,Germany,No,3,133663
Product Manager,18,Master,16,Manufacturing,Startup,India,No,1,111657
Backend Developer,8,Bachelor,15,Consulting,Startup,Sweden,Yes,5,118071
Business Analyst,10,High School,4,Telecom,Medium,Singapore,Hybrid,4,98421
AI Engineer,18,Bachelor,7,Technology,Large,UK,No,2,209422
DevOps Engineer,7,PhD,4,Manufacturing,Medium,Germany,No,4,162694
Cybersecurity Analyst,1,PhD,14,Finance,Large,Sweden,No,3,150555
Business Analyst,4,Master,14,Telecom,Large,Netherlands,Hybrid,4,114130
Cybersecurity Analyst,2,PhD,3,Government,Startup,Singapore,Hybrid,2,106035
Software Engineer,6,Bachelor,17,Retail,Enterprise,USA,Yes,5,201612
AI Engineer,10,Master,19,Technology,Medium,USA,No,1,220937
Business Analyst,20,Bachelor,6,Consulting,Large,Australia,No,0,140256
Cloud Engineer,17,Diploma,2,Healthcare,Small,Remote,Yes,3,137052
Cybersecurity Analyst,19,Bachelor,11,Government,Large,USA,Hybrid,4,214863
DevOps Engineer,17,PhD,3,Government,Startup,Singapore,Hybrid,3,152057
DevOps Engineer,3,PhD,1,Government,Large,UK,No,1,160179
Product Manager,2,Diploma,19,Media,Enterprise,Germany,Hybrid,2,176862
Product Manager,4,High School,5,Education,Large,India,Hybrid,2,92918
Frontend Developer,5,Bachelor,8,Media,Medium,Canada,No,5,135309
Product Manager,18,PhD,12,Retail,Medium,Sweden,Hybrid,3,190206
Cloud Engineer,15,Bachelor,2,Finance,Large,Remote,Hybrid,5,165438
Product Manager,10,High School,2,Healthcare,Medium,Sweden,No,1,127993
Data Scientist,18,Diploma,13,Healthcare,Large,Netherlands,Hybrid,3,169990
Machine Learning Engineer,6,Diploma,12,Technology,Startup,Australia,Hybrid,4,126955
Backend Developer,20,PhD,18,Healthcare,Medium,Netherlands,Yes,4,190913
Frontend Developer,10,Bachelor,17,Consulting,Startup,India,Yes,1,80484
Machine Learning Engineer,6,Master,13,Healthcare,Startup,Netherlands,Hybrid,2,124227
Product Manager,17,Master,5,Technology,Medium,USA,Yes,2,220067
Product Manager,12,Bachelor,11,Finance,Enterprise,USA,Yes,3,234211
Data Analyst,6,PhD,10,Telecom,Enterprise,Germany,Hybrid,2,152595
Data Scientist,17,Diploma,18,Technology,Small,Netherlands,Hybrid,2,149801
Business Analyst,1,PhD,17,Finance,Medium,UK,No,4,127628
Product Manager,19,PhD,6,Retail,Small,Canada,Yes,0,203973
Cybersecurity Analyst,20,Bachelor,16,Technology,Enterprise,Singapore,Yes,2,202115
Data Analyst,5,Bachelor,3,Media,Enterprise,Netherlands,Yes,1,107552
Frontend Developer,13,Diploma,18,Education,Startup,Germany,No,4,126739
Product Manager,17,PhD,1,Technology,Enterprise,Netherlands,Hybrid,4,208244
Product Manager,5,Master,4,Media,Enterprise,Germany,Yes,0,185101
Machine Learning Engineer,0,Bachelor,1,Retail,Startup,Canada,Hybrid,0,122057
Cybersecurity Analyst,6,PhD,17,Consulting,Small,Australia,No,0,135815
Machine Learning Engineer,6,Master,10,Government,Large,Australia,No,1,156006
Frontend Developer,11,High School,5,Telecom,Large,Germany,Yes,0,125593
Backend Developer,20,PhD,3,Technology,Medium,UK,Hybrid,3,189989
Business Analyst,13,Diploma,3,Telecom,Medium,USA,Yes,4,144487
Data Scientist,2,High School,1,Consulting,Enterprise,Australia,Hybrid,1,108839
Software Engineer,8,Bachelor,9,Healthcare,Small,Remote,Hybrid,3,124018
Backend Developer,9,PhD,1,Retail,Small,India,Yes,4,103041
Data Analyst,2,PhD,10,Consulting,Small,Netherlands,Yes,1,103273
Backend Developer,20,High School,17,Media,Enterprise,Canada,No,3,212340
Backend Developer,13,High School,4,Manufacturing,Startup,Canada,Hybrid,1,125292
Frontend Developer,0,Master,7,Media,Medium,Remote,No,1,107274
Product Manager,11,Bachelor,8,Technology,Large,Germany,Hybrid,4,170782
Data Scientist,18,Bachelor,11,Education,Large,USA,No,5,238311
Backend Developer,0,Master,1,Government,Large,Netherlands,Hybrid,0,114808
Data Scientist,7,PhD,10,Telecom,Large,Singapore,Yes,1,170088
DevOps Engineer,12,Bachelor,12,Telecom,Startup,Canada,No,4,157602
Frontend Developer,0,PhD,8,Media,Startup,Remote,No,0,93916
Cybersecurity Analyst,15,Diploma,17,Government,Large,Germany,Yes,4,184547
Cloud Engineer,6,High School,1,Telecom,Small,Remote,No,2,103333
AI Engineer,4,Bachelor,14,Manufacturing,Medium,Remote,No,4,154283
Product Manager,16,Bachelor,9,Technology,Small,Remote,Hybrid,4,152918
Product Manager,1,Master,1,Government,Large,India,Hybrid,2,89105
Cloud Engineer,14,PhD,3,Retail,Enterprise,Germany,Yes,0,219783
Frontend Developer,2,Bachelor,18,Healthcare,Large,Netherlands,Yes,5,123471
Backend Developer,17,High School,9,Media,Enterprise,Remote,No,4,160645
Backend Developer,4,PhD,9,Telecom,Large,Canada,Hybrid,2,176090
Software Engineer,8,Bachelor,13,Government,Enterprise,India,No,3,108617
Data Analyst,19,Bachelor,9,Telecom,Small,Sweden,No,4,122364
Data Scientist,11,Diploma,4,Consulting,Large,Remote,Yes,5,139361
AI Engineer,14,Diploma,10,Government,Small,Remote,Yes,4,161516
Backend Developer,12,High School,14,Consulting,Medium,India,No,4,94933
Data Analyst,1,Diploma,10,Media,Small,Canada,Hybrid,1,86188
Business Analyst,11,PhD,7,Telecom,Small,Remote,Yes,2,138418
Cybersecurity Analyst,10,PhD,4,Finance,Small,USA,No,2,184366
Business Analyst,16,PhD,12,Healthcare,Large,Germany,No,5,191862
Backend Developer,19,Master,15,Healthcare,Startup,USA,Hybrid,0,186883
Product Manager,6,Bachelor,18,Manufacturing,Medium,Canada,No,4,175087
Machine Learning Engineer,5,Bachelor,10,Government,Startup,Remote,Hybrid,2,123572
Machine Learning Engineer,18,High School,15,Media,Enterprise,India,No,5,152486
Machine Learning Engineer,12,PhD,14,Healthcare,Small,USA,Yes,4,219341
Product Manager,4,High School,16,Telecom,Medium,USA,Hybrid,5,164957
Cloud Engineer,11,Master,7,Telecom,Medium,Netherlands,Hybrid,1,147640
Backend Developer,15,High School,3,Manufacturing,Medium,UK,No,1,140266
Cloud Engineer,4,High School,5,Retail,Small,UK,Yes,1,120469
Cybersecurity Analyst,14,Bachelor,11,Retail,Small,Singapore,Hybrid,2,137145
AI Engineer,7,High School,18,Finance,Medium,Remote,Yes,3,142476
Data Analyst,19,Bachelor,4,Media,Enterprise,Germany,Hybrid,4,160636
Data Analyst,18,High School,17,Retail,Medium,Australia,Yes,5,122872
Data Analyst,12,Master,8,Technology,Medium,UK,Hybrid,0,133297
Machine Learning Engineer,10,Master,10,Consulting,Medium,Remote,No,2,162947
Backend Developer,9,Master,14,Media,Startup,Germany,Hybrid,0,124223
Frontend Developer,10,Diploma,14,Media,Medium,Canada,Hybrid,5,150986
Business Analyst,18,Diploma,17,Media,Startup,Canada,No,2,128785
Cybersecurity Analyst,2,PhD,19,Manufacturing,Medium,Singapore,No,5,146825
Software Engineer,5,Master,11,Education,Medium,Australia,Yes,4,131933
Product Manager,19,Bachelor,8,Education,Enterprise,Netherlands,Yes,5,198428
AI Engineer,18,Bachelor,2,Manufacturing,Large,Netherlands,Yes,1,195952
DevOps Engineer,6,High School,16,Technology,Medium,Netherlands,Yes,2,128078
Cybersecurity Analyst,17,High School,18,Education,Large,UK,No,4,190717
Cybersecurity Analyst,12,PhD,17,Consulting,Small,USA,No,3,205435
Machine Learning Engineer,9,Master,13,Retail,Small,India,Hybrid,4,109950
Machine Learning Engineer,6,High School,8,Media,Startup,Australia,Yes,2,119687
Cybersecurity Analyst,14,High School,19,Retail,Medium,Australia,No,2,143867
Data Analyst,11,High School,12,Consulting,Large,UK,Hybrid,0,129625
DevOps Engineer,19,PhD,6,Healthcare,Small,Canada,No,3,197412
Cybersecurity Analyst,10,Diploma,17,Consulting,Enterprise,Germany,No,3,189289
Frontend Developer,18,High School,8,Telecom,Large,USA,Yes,2,190956
Frontend Developer,12,Master,14,Media,Enterprise,Singapore,Yes,3,170225
Product Manager,0,High School,18,Healthcare,Medium,Remote,No,1,113945
Machine Learning Engineer,3,Master,19,Finance,Enterprise,USA,Yes,3,241910
Data Analyst,12,Diploma,13,Consulting,Large,Australia,No,0,113227
Cybersecurity Analyst,3,Diploma,6,Government,Enterprise,Germany,Yes,5,149625
Machine Learning Engineer,9,Master,19,Manufacturing,Enterprise,Canada,Hybrid,4,241321
DevOps Engineer,1,High School,8,Healthcare,Startup,Canada,No,0,115680
Software Engineer,4,Diploma,14,Technology,Large,Netherlands,No,2,128353
Data Analyst,16,Diploma,10,Consulting,Enterprise,India,Hybrid,0,94732
Machine Learning Engineer,4,Bachelor,14,Consulting,Startup,Singapore,Hybrid,3,124669
Product Manager,1,Master,10,Telecom,Small,UK,Yes,2,143975
Software Engineer,2,High School,16,Retail,Small,Canada,No,1,114399
Cybersecurity Analyst,20,PhD,13,Retail,Medium,Sweden,Yes,1,186942
Software Engineer,9,Bachelor,16,Consulting,Startup,Singapore,Yes,5,106023
Data Analyst,3,Master,9,Technology,Startup,Netherlands,No,1,91341
DevOps Engineer,15,PhD,7,Consulting,Large,Sweden,Hybrid,2,186590
Frontend Developer,8,Bachelor,9,Telecom,Medium,Singapore,Hybrid,2,102078
Cybersecurity Analyst,9,High School,12,Consulting,Large,Singapore,Hybrid,4,138372
Product Manager,5,Bachelor,19,Education,Enterprise,UK,Hybrid,5,194499
Cybersecurity Analyst,9,Bachelor,15,Manufacturing,Startup,Sweden,Hybrid,0,122121
AI Engineer,13,Bachelor,5,Media,Large,Australia,Yes,4,164422
Business Analyst,8,Master,9,Healthcare,Medium,Canada,Yes,5,158561
Product Manager,5,Master,19,Technology,Startup,Netherlands,Yes,4,144947
Backend Developer,16,Master,2,Healthcare,Medium,UK,Hybrid,1,157744
AI Engineer,17,Diploma,19,Media,Medium,USA,Hybrid,5,229594
Backend Developer,19,Bachelor,8,Consulting,Startup,USA,Hybrid,1,165144
Cybersecurity Analyst,8,Diploma,5,Telecom,Small,Remote,Hybrid,5,122509
Data Analyst,20,PhD,13,Media,Enterprise,USA,Yes,0,235839
Frontend Developer,0,Bachelor,13,Consulting,Startup,Remote,No,0,85890
Cybersecurity Analyst,14,PhD,12,Manufacturing,Large,Germany,Hybrid,2,192344
Product Manager,2,Diploma,1,Manufacturing,Enterprise,India,Hybrid,2,89433
Frontend Developer,2,Bachelor,4,Media,Large,Remote,Yes,2,102815
Product Manager,12,High School,10,Telecom,Small,Singapore,No,3,125563
Data Analyst,11,Bachelor,8,Telecom,Small,Netherlands,No,0,100641
Cybersecurity Analyst,5,Bachelor,19,Finance,Medium,Germany,Hybrid,1,133665
DevOps Engineer,15,High School,2,Technology,Enterprise,India,No,1,108204
Frontend Developer,1,PhD,16,Education,Startup,India,Yes,4,85554
Product Manager,1,PhD,7,Retail,Large,Germany,Hybrid,5,170141
Cloud Engineer,6,High School,8,Healthcare,Enterprise,Australia,No,3,144336
Machine Learning Engineer,16,High School,15,Telecom,Startup,USA,No,4,188384
Software Engineer,9,Bachelor,1,Government,Startup,Sweden,No,1,109851
Product Manager,6,Diploma,2,Consulting,Medium,Netherlands,No,5,123929
DevOps Engineer,0,Diploma,18,Retail,Small,Netherlands,No,2,95347
Software Engineer,11,Bachelor,16,Retail,Medium,Sweden,Yes,2,139855
Business Analyst,13,High School,1,Manufacturing,Large,Canada,No,4,131754
Frontend Developer,20,Diploma,6,Retail,Startup,USA,Yes,4,166245
DevOps Engineer,2,Diploma,6,Healthcare,Large,Canada,No,2,144356
DevOps Engineer,3,Diploma,3,Education,Medium,Germany,Hybrid,4,117062
Backend Developer,3,High School,5,Retail,Startup,Singapore,Hybrid,0,81801
Backend Developer,15,PhD,5,Telecom,Enterprise,India,Yes,1,125772
Data Analyst,11,PhD,16,Manufacturing,Large,Netherlands,Hybrid,4,145712
Data Analyst,3,Diploma,6,Government,Medium,Canada,No,1,91271
Cloud Engineer,19,Master,13,Consulting,Large,Canada,Yes,4,235508
Product Manager,19,PhD,2,Technology,Small,USA,Hybrid,5,226246
Backend Developer,1,High School,11,Telecom,Startup,USA,No,4,114926
Cloud Engineer,19,Diploma,13,Retail,Small,Germany,No,1,160076
Software Engineer,1,Master,1,Government,Startup,Germany,Hybrid,4,109288
Data Analyst,16,Bachelor,7,Technology,Enterprise,Singapore,No,1,138519
Backend Developer,2,Bachelor,2,Media,Large,Remote,No,4,116062
Business Analyst,0,Master,2,Manufacturing,Startup,Australia,No,4,78914
Cybersecurity Analyst,18,PhD,12,Retail,Small,USA,Hybrid,2,217712
AI Engineer,16,PhD,13,Finance,Startup,Canada,Yes,2,218911
Backend Developer,16,PhD,5,Finance,Small,Germany,Yes,4,178772
Cloud Engineer,1,Bachelor,1,Finance,Medium,Sweden,Hybrid,4,111678
Cybersecurity Analyst,7,High School,5,Retail,Medium,Remote,No,0,105620
Software Engineer,0,PhD,18,Education,Small,Remote,Yes,5,137872
Cybersecurity Analyst,1,High School,14,Telecom,Enterprise,USA,Yes,0,171554
Data Scientist,2,High School,5,Technology,Startup,Canada,Hybrid,1,107385
Cybersecurity Analyst,10,Master,10,Manufacturing,Enterprise,Sweden,Yes,3,172284
Machine Learning Engineer,3,High School,2,Healthcare,Small,Sweden,Yes,5,120605
Data Analyst,18,Diploma,4,Media,Startup,India,No,4,72237
AI Engineer,12,Bachelor,18,Media,Large,Canada,Yes,0,213650
Frontend Developer,11,Diploma,5,Media,Medium,Remote,No,5,115789
Data Scientist,8,High School,16,Healthcare,Startup,Germany,Yes,5,133908
DevOps Engineer,0,Diploma,4,Media,Small,Sweden,Hybrid,0,92496
AI Engineer,20,Bachelor,5,Government,Medium,UK,Hybrid,2,208292
Frontend Developer,7,Diploma,15,Retail,Enterprise,Australia,Yes,2,135536
DevOps Engineer,11,PhD,9,Manufacturing,Small,Sweden,Yes,5,152055
Product Manager,14,Diploma,4,Healthcare,Startup,Australia,No,3,126019
Data Analyst,12,High School,17,Finance,Startup,UK,No,0,97819
DevOps Engineer,16,Bachelor,5,Retail,Large,Remote,Yes,0,161347
DevOps Engineer,4,Master,12,Finance,Enterprise,Canada,No,4,192669
DevOps Engineer,16,Master,19,Finance,Startup,Canada,No,1,179072
Product Manager,0,Master,19,Manufacturing,Large,India,Hybrid,3,109435
Data Analyst,2,PhD,12,Telecom,Enterprise,Australia,Yes,5,142001
Software Engineer,20,Bachelor,7,Technology,Large,USA,Hybrid,1,212022
Frontend Developer,4,High School,14,Media,Large,USA,Hybrid,3,143161
Machine Learning Engineer,17,PhD,19,Consulting,Medium,Australia,No,2,191928
Business Analyst,19,PhD,4,Healthcare,Enterprise,Sweden,Yes,4,183252
Backend Developer,15,Bachelor,1,Consulting,Enterprise,UK,Hybrid,4,181919
Product Manager,3,Bachelor,1,Retail,Medium,Canada,Yes,4,149196
Backend Developer,15,PhD,4,Government,Enterprise,Canada,Hybrid,3,226765
Cybersecurity Analyst,19,High School,16,Manufacturing,Medium,Australia,Hybrid,0,146870
DevOps Engineer,13,High School,5,Technology,Small,India,No,4,88346
Backend Developer,6,Master,3,Government,Enterprise,Netherlands,Hybrid,4,149399
Cloud Engineer,4,High School,6,Retail,Medium,Australia,Hybrid,4,110064
Product Manager,2,PhD,10,Telecom,Large,Canada,No,3,180400
DevOps Engineer,19,Diploma,18,Technology,Medium,Australia,No,1,161424
Backend Developer,19,Master,1,Manufacturing,Medium,Germany,Yes,4,172435
Software Engineer,9,Master,8,Government,Startup,India,No,5,84983
AI Engineer,19,PhD,12,Media,Large,Netherlands,No,0,213728
Cloud Engineer,17,Master,2,Media,Startup,Singapore,No,4,143934
Software Engineer,6,High School,1,Government,Medium,Singapore,No,3,107113
Data Analyst,7,High School,9,Retail,Enterprise,Australia,Hybrid,0,101091
AI Engineer,18,Bachelor,19,Education,Small,Remote,No,0,173820
AI Engineer,5,Master,10,Retail,Enterprise,Remote,No,1,186370
Product Manager,18,High School,16,Consulting,Small,India,Hybrid,2,102995
Backend Developer,14,Bachelor,7,Media,Small,USA,No,5,164845
